,id,name,addr:postcode,type,lat,lon
0,node/26306647,De Drietip,,nl_sports_centre,51.4712181,5.5506867
1,node/30780468,Snellerpoort,,nl_sports_centre,52.0895314,4.9090181
2,node/31257636,Star,,nl_sports_centre,52.0834004,4.8922847
3,node/34045101,Sport- en Leisurepark Strijthagen,,nl_sports_centre,50.8843014,6.023069
4,node/34046657,De Hoge Devel,,nl_sports_centre,51.8192255,4.6240306
5,node/34046667,Zwembad de Kuil,2411XC,nl_sports_centre,52.0885391,4.7470729
6,node/34046694,Zwembad de Vosse,,nl_sports_centre,52.2953159,4.5900728
7,node/34046749,Buiten zwembad Kessel,,nl_sports_centre,51.2928253,6.0567683
8,node/34047052,SC Welberg,,nl_sports_centre,51.573986,4.3284826
9,node/34047162,RVVH,,nl_sports_centre,51.877797,4.5925828
10,node/34047165,sv Slikkerveer,,nl_sports_centre,51.8791969,4.5875782
11,node/34047172,PPSC,3121KK,nl_sports_centre,51.9334036,4.3931366
12,node/34047173,DRGS,3121KK,nl_sports_centre,51.9338731,4.3932871
13,node/34047199,Excelsior'20,3121KK,nl_sports_centre,51.9299561,4.3935825
14,node/34047430,VV Bergambacht,,nl_sports_centre,51.9254441,4.7836581
15,node/34047541,voetbalvereniging LRC,4143LM,nl_sports_centre,51.8989857,5.076445
16,node/34047702,Valken'68,2235SL,nl_sports_centre,52.1754438,4.4433943
17,node/34047816,Pancratius,,nl_sports_centre,52.3315532,4.7818377
18,node/34048040,Zwaluwen Utrecht 1911,3527VX,nl_sports_centre,52.0794455,5.1001363
19,node/34048063,Voetbal Vereniging Kockengen,,nl_sports_centre,52.1529507,4.940055
20,node/34048520,DAW,,nl_sports_centre,51.747047,5.6221553
21,node/34049260,,,nl_sports_centre,52.4020142,6.6278698
22,node/34049336,vv RSC,,nl_sports_centre,52.3502983,6.9222648
23,node/34049450,,,nl_sports_centre,53.3802027,6.0555361
24,node/34049711,De Staver,,nl_sports_centre,51.7507657,4.1573836
25,node/34049728,Sporthal Hoogvliet,,nl_sports_centre,51.8671547,4.35996
26,node/34049731,Sporthal,3161KP,nl_sports_centre,51.8600606,4.4215568
27,node/34049733,Sportcomplex Dukdalf,,nl_sports_centre,51.8955899,4.1599937
28,node/34049737,Balleringhal,,nl_sports_centre,51.9879689,4.2067164
29,node/34049741,Sporthal Sosef,,nl_sports_centre,52.0028387,4.2307061
30,node/34049745,Sporthal De Hofstede,,nl_sports_centre,51.9324131,4.2752583
31,node/34049748,Sporthal Westwijk,,nl_sports_centre,51.9130544,4.3177564
32,node/34049749,Sporthal De Schilp,,nl_sports_centre,52.0382537,4.2987329
33,node/34049752,Sporthal Margriet,3119KA,nl_sports_centre,51.9248019,4.3788003
34,node/34049753,Sporthal Groenoord,3121JP,nl_sports_centre,51.9266558,4.3792516
35,node/34049762,De Wilgenring,,nl_sports_centre,51.9485391,4.4718171
36,node/34049767,Sportcentrum West,,nl_sports_centre,51.9196689,4.4299902
37,node/34049769,Sportcentrum Woudestein (Erasmus Universiteit),,nl_sports_centre,51.9179544,4.5281495
38,node/34049770,Victoria Sporthal,,nl_sports_centre,51.9281639,4.5366829
39,node/34049777,Sporthal Oostgaarde,,nl_sports_centre,51.9392949,4.6001334
40,node/34049783,Sporthal Zevenkampse Ring,,nl_sports_centre,51.9643663,4.5719619
41,node/34049821,De Atalanta,,nl_sports_centre,51.4280877,5.3912633
42,node/34049836,De Drie Maenen,,nl_sports_centre,51.9338805,4.635127
43,node/34049875,Sporthal 't Veerhuis,,nl_sports_centre,52.0044496,5.0855603
44,node/34049883,Sporthal Gaslaan,2562LN,nl_sports_centre,52.0747585,4.2848944
45,node/34049894,Sportplaza Groenendaal,,nl_sports_centre,52.3384121,4.6257772
46,node/34049896,De Tweesprong,,nl_sports_centre,52.2079408,4.6374873
47,node/34049897,Sporthal De Vosse,,nl_sports_centre,52.2949951,4.5903958
48,node/34049905,Kastelenringhal,2263SX,nl_sports_centre,52.1043391,4.4064549
49,node/34049915,Sporthal Onze Gezellen,2026ZL,nl_sports_centre,52.423849,4.6496722
50,node/34049917,Sporthal Zeewijk,1973BE,nl_sports_centre,52.4517941,4.6001685
51,node/34049940,Dorpscentrum,2064KK,nl_sports_centre,52.413469,4.6840282
52,node/34049945,,,nl_sports_centre,52.4473799,4.8815658
53,node/34049951,Sporthal de Pijp,1072RD,nl_sports_centre,52.3496503,4.8937569
54,node/34049966,Zalencentrum De Boei,,nl_sports_centre,52.2141629,4.9307536
55,node/34049968,Sporthal Bindelwijk,,nl_sports_centre,52.2955145,4.9079244
56,node/34050014,Sportcentrum De Lunet,,nl_sports_centre,52.2897059,5.171643
57,node/34050033,Sporthal Buiten,,nl_sports_centre,52.3943704,5.266124
58,node/34050066,'t Vroendel,,nl_sports_centre,50.8136343,5.735304
59,node/34050088,City Sporthal,5701RV,nl_sports_centre,51.4819954,5.6561241
60,node/34050097,Sporthal De Kievit,5667AH,nl_sports_centre,51.4305812,5.5572623
61,node/34050125,Veluwehal,,nl_sports_centre,52.1427636,5.5848795
62,node/34050174,de peppel,,nl_sports_centre,52.0369225,5.643007
63,node/34050205,Sporthal Rolduc,6461VN,nl_sports_centre,50.866416,6.0768786
64,node/34050217,Optisport 't Spilbroek,,nl_sports_centre,52.1297995,6.6119248
65,node/34050391,Sporthal De Brug,,nl_sports_centre,52.681224,6.5822874
66,node/34050393,Sporthal Trasselt,,nl_sports_centre,52.7208693,6.4422757
67,node/34050427,Sporthal Pittelo,,nl_sports_centre,53.0089512,6.5484309
68,node/135553344,,,nl_sports_centre,52.4144607,6.6221466
69,node/225502102,De Sawn Stjerren,,nl_sports_centre,53.30458,5.783476
70,node/230103591,,,nl_sports_centre,51.4774266,5.4565591
71,node/232973115,Splash Rennaisance Fitness Club,,nl_sports_centre,52.3782673,4.8947183
72,node/243240486,Treize Points,,nl_sports_centre,52.1066931,5.0847787
73,node/246516825,,5706CW,nl_sports_centre,51.4585098,5.6355046
74,node/260199329,Squash Utrecht,,nl_sports_centre,52.1086284,5.1139577
75,node/262676230,De Appollohal,,nl_sports_centre,52.1812711,4.461221
76,node/262676231,,,nl_sports_centre,52.1809101,4.4611695
77,node/262676233,,,nl_sports_centre,52.1816339,4.4613344
78,node/274687502,Manege Vos,,nl_sports_centre,52.8333212,6.3610815
79,node/292356734,,,nl_sports_centre,53.2605978,6.4573881
80,node/292390889,,,nl_sports_centre,50.8535224,5.9419021
81,node/292966973,Dekker Warmond,,nl_sports_centre,52.1873417,4.4996933
82,node/293347479,Koru,,nl_sports_centre,52.787569,6.2797909
83,node/297491954,Asiento,,nl_sports_centre,12.1349582,-68.9096714
